UF,Cód_IBGE,Ano,Setor,Valor,Variável
Rondônia,11,2007,Total,1125.0,Número de unidades locais
Rondônia,11,2007,B Indústrias extrativas,29.0,Número de unidades locais
Rondônia,11,2007,C Indústrias de transformação,1096.0,Número de unidades locais
Rondônia,11,2007,10 Fabricação de produtos alimentícios,207.0,Número de unidades locais
Rondônia,11,2007,20 Fabricação de produtos químicos,12.0,Número de unidades locais
Rondônia,11,2007,24 Metalurgia,11.0,Número de unidades locais
Rondônia,11,2007,"29 Fabricação de veículos automotores, reboques e carrocerias",28.0,Número de unidades locais
Rondônia,11,2008,Total,1164.0,Número de unidades locais
Rondônia,11,2008,B Indústrias extrativas,37.0,Número de unidades locais
Rondônia,11,2008,C Indústrias de transformação,1127.0,Número de unidades locais
Rondônia,11,2008,10 Fabricação de produtos alimentícios,229.0,Número de unidades locais
Rondônia,11,2008,20 Fabricação de produtos químicos,13.0,Número de unidades locais
Rondônia,11,2008,24 Metalurgia,7.0,Número de unidades locais
Rondônia,11,2008,"29 Fabricação de veículos automotores, reboques e carrocerias",24.0,Número de unidades locais
Rondônia,11,2009,Total,943.0,Número de unidades locais
Rondônia,11,2009,B Indústrias extrativas,38.0,Número de unidades locais
Rondônia,11,2009,C Indústrias de transformação,905.0,Número de unidades locais
Rondônia,11,2009,10 Fabricação de produtos alimentícios,156.0,Número de unidades locais
Rondônia,11,2009,20 Fabricação de produtos químicos,22.0,Número de unidades locais
Rondônia,11,2009,24 Metalurgia,7.0,Número de unidades locais
Rondônia,11,2009,"29 Fabricação de veículos automotores, reboques e carrocerias",32.0,Número de unidades locais
Rondônia,11,2010,Total,1129.0,Número de unidades locais
Rondônia,11,2010,B Indústrias extrativas,43.0,Número de unidades locais
Rondônia,11,2010,C Indústrias de transformação,1086.0,Número de unidades locais
Rondônia,11,2010,10 Fabricação de produtos alimentícios,217.0,Número de unidades locais
Rondônia,11,2010,20 Fabricação de produtos químicos,27.0,Número de unidades locais
Rondônia,11,2010,24 Metalurgia,7.0,Número de unidades locais
Rondônia,11,2010,"29 Fabricação de veículos automotores, reboques e carrocerias",23.0,Número de unidades locais
Rondônia,11,2011,Total,1204.0,Número de unidades locais
Rondônia,11,2011,B Indústrias extrativas,51.0,Número de unidades locais
Rondônia,11,2011,C Indústrias de transformação,1153.0,Número de unidades locais
Rondônia,11,2011,10 Fabricação de produtos alimentícios,226.0,Número de unidades locais
Rondônia,11,2011,20 Fabricação de produtos químicos,27.0,Número de unidades locais
Rondônia,11,2011,24 Metalurgia,10.0,Número de unidades locais
Rondônia,11,2011,"29 Fabricação de veículos automotores, reboques e carrocerias",32.0,Número de unidades locais
Rondônia,11,2012,Total,1244.0,Número de unidades locais
Rondônia,11,2012,B Indústrias extrativas,52.0,Número de unidades locais
Rondônia,11,2012,C Indústrias de transformação,1192.0,Número de unidades locais
Rondônia,11,2012,10 Fabricação de produtos alimentícios,245.0,Número de unidades locais
Rondônia,11,2012,20 Fabricação de produtos químicos,22.0,Número de unidades locais
Rondônia,11,2012,24 Metalurgia,7.0,Número de unidades locais
Rondônia,11,2012,"29 Fabricação de veículos automotores, reboques e carrocerias",32.0,Número de unidades locais
Rondônia,11,2013,Total,1311.0,Número de unidades locais
Rondônia,11,2013,B Indústrias extrativas,66.0,Número de unidades locais
Rondônia,11,2013,C Indústrias de transformação,1245.0,Número de unidades locais
Rondônia,11,2013,10 Fabricação de produtos alimentícios,256.0,Número de unidades locais
Rondônia,11,2013,20 Fabricação de produtos químicos,29.0,Número de unidades locais
Rondônia,11,2013,24 Metalurgia,9.0,Número de unidades locais
Rondônia,11,2013,"29 Fabricação de veículos automotores, reboques e carrocerias",28.0,Número de unidades locais
Rondônia,11,2014,Total,1362.0,Número de unidades locais
Rondônia,11,2014,B Indústrias extrativas,61.0,Número de unidades locais
Rondônia,11,2014,C Indústrias de transformação,1301.0,Número de unidades locais
Rondônia,11,2014,10 Fabricação de produtos alimentícios,273.0,Número de unidades locais
Rondônia,11,2014,20 Fabricação de produtos químicos,27.0,Número de unidades locais
Rondônia,11,2014,24 Metalurgia,7.0,Número de unidades locais
Rondônia,11,2014,"29 Fabricação de veículos automotores, reboques e carrocerias",37.0,Número de unidades locais
Rondônia,11,2015,Total,1310.0,Número de unidades locais
Rondônia,11,2015,B Indústrias extrativas,64.0,Número de unidades locais
Rondônia,11,2015,C Indústrias de transformação,1246.0,Número de unidades locais
Rondônia,11,2015,10 Fabricação de produtos alimentícios,272.0,Número de unidades locais
