"Tabela 1849 - Dados gerais das unidades locais industriais de empresas industriais com 5 ou mais pessoas ocupadas, por Unidade da Federação, segundo as divisões de atividades (CNAE 2.0)"
"Variável - Número de unidades locais"
"Nível","Cód.","Unidade da Federação","Ano","Classificação Nacional de Atividades Econômicas (CNAE 2.0)",""
"UF","11","Rondônia","2007","Total","1125","Unidades"
"UF","11","Rondônia","2007","B Indústrias extrativas","29","Unidades"
"UF","11","Rondônia","2007","C Indústrias de transformação","1096","Unidades"
"UF","11","Rondônia","2007","10 Fabricação de produtos alimentícios","207","Unidades"
"UF","11","Rondônia","2007","20 Fabricação de produtos químicos","12","Unidades"
"UF","11","Rondônia","2007","24 Metalurgia","11","Unidades"
"UF","11","Rondônia","2007","29 Fabricação de veículos automotores, reboques e carrocerias","28","Unidades"
"UF","11","Rondônia","2008","Total","1164","Unidades"
"UF","11","Rondônia","2008","B Indústrias extrativas","37","Unidades"
"UF","11","Rondônia","2008","C Indústrias de transformação","1127","Unidades"
"UF","11","Rondônia","2008","10 Fabricação de produtos alimentícios","229","Unidades"
"UF","11","Rondônia","2008","20 Fabricação de produtos químicos","13","Unidades"
"UF","11","Rondônia","2008","24 Metalurgia","7","Unidades"
"UF","11","Rondônia","2008","29 Fabricação de veículos automotores, reboques e carrocerias","24","Unidades"
"UF","11","Rondônia","2009","Total","943","Unidades"
"UF","11","Rondônia","2009","B Indústrias extrativas","38","Unidades"
"UF","11","Rondônia","2009","C Indústrias de transformação","905","Unidades"
"UF","11","Rondônia","2009","10 Fabricação de produtos alimentícios","156","Unidades"
"UF","11","Rondônia","2009","20 Fabricação de produtos químicos","22","Unidades"
"UF","11","Rondônia","2009","24 Metalurgia","7","Unidades"
"UF","11","Rondônia","2009","29 Fabricação de veículos automotores, reboques e carrocerias","32","Unidades"
"UF","11","Rondônia","2010","Total","1129","Unidades"
"UF","11","Rondônia","2010","B Indústrias extrativas","43","Unidades"
"UF","11","Rondônia","2010","C Indústrias de transformação","1086","Unidades"
"UF","11","Rondônia","2010","10 Fabricação de produtos alimentícios","217","Unidades"
"UF","11","Rondônia","2010","20 Fabricação de produtos químicos","27","Unidades"
"UF","11","Rondônia","2010","24 Metalurgia","7","Unidades"
"UF","11","Rondônia","2010","29 Fabricação de veículos automotores, reboques e carrocerias","23","Unidades"
"UF","11","Rondônia","2011","Total","1204","Unidades"
"UF","11","Rondônia","2011","B Indústrias extrativas","51","Unidades"
"UF","11","Rondônia","2011","C Indústrias de transformação","1153","Unidades"
"UF","11","Rondônia","2011","10 Fabricação de produtos alimentícios","226","Unidades"
"UF","11","Rondônia","2011","20 Fabricação de produtos químicos","27","Unidades"
"UF","11","Rondônia","2011","24 Metalurgia","10","Unidades"
"UF","11","Rondônia","2011","29 Fabricação de veículos automotores, reboques e carrocerias","32","Unidades"
"UF","11","Rondônia","2012","Total","1244","Unidades"
"UF","11","Rondônia","2012","B Indústrias extrativas","52","Unidades"
"UF","11","Rondônia","2012","C Indústrias de transformação","1192","Unidades"
"UF","11","Rondônia","2012","10 Fabricação de produtos alimentícios","245","Unidades"
"UF","11","Rondônia","2012","20 Fabricação de produtos químicos","22","Unidades"
"UF","11","Rondônia","2012","24 Metalurgia","7","Unidades"
"UF","11","Rondônia","2012","29 Fabricação de veículos automotores, reboques e carrocerias","32","Unidades"
"UF","11","Rondônia","2013","Total","1311","Unidades"
"UF","11","Rondônia","2013","B Indústrias extrativas","66","Unidades"
"UF","11","Rondônia","2013","C Indústrias de transformação","1245","Unidades"
"UF","11","Rondônia","2013","10 Fabricação de produtos alimentícios","256","Unidades"
"UF","11","Rondônia","2013","20 Fabricação de produtos químicos","29","Unidades"
"UF","11","Rondônia","2013","24 Metalurgia","9","Unidades"
"UF","11","Rondônia","2013","29 Fabricação de veículos automotores, reboques e carrocerias","28","Unidades"
"UF","11","Rondônia","2014","Total","1362","Unidades"
"UF","11","Rondônia","2014","B Indústrias extrativas","61","Unidades"
"UF","11","Rondônia","2014","C Indústrias de transformação","1301","Unidades"
"UF","11","Rondônia","2014","10 Fabricação de produtos alimentícios","273","Unidades"
"UF","11","Rondônia","2014","20 Fabricação de produtos químicos","27","Unidades"
"UF","11","Rondônia","2014","24 Metalurgia","7","Unidades"
"UF","11","Rondônia","2014","29 Fabricação de veículos automotores, reboques e carrocerias","37","Unidades"
"UF","11","Rondônia","2015","Total","1310","Unidades"
"UF","11","Rondônia","2015","B Indústrias extrativas","64","Unidades"
"UF","11","Rondônia","2015","C Indústrias de transformação","1246","Unidades"
"UF","11","Rondônia","2015","10 Fabricação de produtos alimentícios","272","Unidades"
"UF","11","Rondônia","2015","20 Fabricação de produtos químicos","24","Unidades"
"UF","11","Rondônia","2015","24 Metalurgia","10","Unidades"
"UF","11","Rondônia","2015","29 Fabricação de veículos automotores, reboques e carrocerias","32","Unidades"
"UF","11","Rondônia","2016","Total","1220","Unidades"
"UF","11","Rondônia","2016","B Indústrias extrativas","59","Unidades"
"UF","11","Rondônia","2016","C Indústrias de transformação","1161","Unidades"
"UF","11","Rondônia","2016","10 Fabricação de produtos alimentícios","302","Unidades"
"UF","11","Rondônia","2016","20 Fabricação de produtos químicos","23","Unidades"
"UF","11","Rondônia","2016","24 Metalurgia","7","Unidades"
"UF","11","Rondônia","2016","29 Fabricação de veículos automotores, reboques e carrocerias","31","Unidades"
"UF","11","Rondônia","2017","Total","1200","Unidades"
